sic2,sic2_cgov_str_st,sic2_cgov_con_st,sic2_com_str_st,sic2_com_con_st,sic2_div_str_st,sic2_div_con_st,sic2_emp_str_st,sic2_emp_con_st,sic2_env_str_st,sic2_env_con_st,sic2_hum_str_st,sic2_hum_con_st,sic2_pro_str_st,sic2_pro_con_st
01,0.3016,0.5397,0.1429,0.2857,0.4762,0.5873,0.5873,0.6508,0.3810,0.7778,0.1429,0.4603,0.0635,0.6508
02,0.1000,0.1000,0.0000,0.3000,0.0000,0.3000,0.0000,0.4000,0.0000,0.0000,0.0000,0.0000,0.1000,0.5000
07,0.0000,0.1538,0.0000,0.0000,0.0000,1.0769,0.0000,0.2308,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,0.2690,0.2893,0.3299,0.2183,0.1675,0.4315,0.4873,0.5939,0.5482,0.7716,0.4518,0.3299,0.0305,0.0406
12,0.1000,0.3000,0.0333,0.3333,0.0000,0.6667,0.3000,0.8333,0.2000,1.4667,0.0000,0.0000,0.0000,0.0000
13,0.2075,0.3603,0.1119,0.1247,0.1210,0.6324,0.3540,0.4095,0.2866,0.6833,0.2084,0.0955,0.0146,0.0937
14,0.0667,0.2400,0.0267,0.2400,0.2000,0.4667,0.0800,0.2133,0.2400,0.1067,0.0267,0.0000,0.0000,0.0400
15,0.1000,0.5588,0.1118,0.1353,0.1059,0.4529,0.0235,0.3706,0.2176,0.1294,0.0176,0.0000,0.1000,0.3941
16,0.2099,0.3704,0.1049,0.1049,0.3086,0.5617,0.2778,0.5062,0.1852,0.1173,0.0062,0.1173,0.0309,0.2716
17,0.1458,0.4167,0.0000,0.0000,0.0625,0.8333,0.3542,0.0417,0.1042,0.0000,0.0000,0.0000,0.0000,0.0000
20,0.1755,0.4221,0.2360,0.1014,0.8200,0.3449,0.4100,0.5492,0.5915,0.3374,0.0303,0.0530,0.1755,0.3177
21,0.0667,0.9556,0.7111,0.4222,1.4889,0.3333,0.6667,0.9111,0.8444,0.0889,0.2667,0.2000,0.1778,2.4667
22,0.0714,0.2619,0.0000,0.0000,0.1667,0.3095,0.1667,0.4286,0.5476,0.0000,0.0000,0.0000,0.0714,0.2381
23,0.1107,0.3607,0.0574,0.0123,0.4590,0.3320,0.1926,0.5656,0.1311,0.0369,0.0246,0.3197,0.0451,0.0656
24,0.2138,0.1379,0.1517,0.0690,0.3103,0.4966,0.4828,0.2828,0.6069,0.3655,0.0207,0.0414,0.0759,0.2414
25,0.1294,0.2587,0.0647,0.0000,0.3184,0.3682,0.3085,0.4080,0.4826,0.0448,0.0000,0.0846,0.1393,0.0896
26,0.1468,0.2969,0.1945,0.0614,0.4949,0.3720,0.6348,0.5222,0.8874,0.5324,0.0068,0.0137,0.1706,0.2321
27,0.0659,0.2946,0.1279,0.0194,0.9419,0.2868,0.2093,0.3023,0.1512,0.0543,0.0000,0.0000,0.1357,0.1008
28,0.1163,0.3629,0.1549,0.0696,0.5477,0.4377,0.3831,0.3023,0.3861,0.2791,0.0045,0.0183,0.1425,0.3547
29,0.1736,0.4514,0.4861,0.5208,0.6250,0.4792,0.8889,0.7014,0.5208,1.6528,0.2083,0.3542,0.0278,0.2361
30,0.1878,0.2394,0.1831,0.0751,0.3991,0.4319,0.5117,0.4554,0.3944,0.1268,0.0329,0.0610,0.0469,0.2629
31,0.2857,0.2381,0.2571,0.0000,0.6476,0.3619,0.3429,0.3810,0.1333,0.0000,0.0571,0.2667,0.0190,0.0857
32,0.1389,0.2222,0.0903,0.0000,0.1111,0.5486,0.4514,0.2292,0.4167,0.2083,0.0000,0.0139,0.0000,0.2292
33,0.0890,0.2522,0.0297,0.1128,0.1306,0.5490,0.6677,0.4688,0.3264,0.6350,0.0504,0.0237,0.0445,0.1157
34,0.1404,0.2837,0.0401,0.0143,0.1519,0.5072,0.1948,0.3983,0.3582,0.1862,0.0086,0.0430,0.0372,0.2464
35,0.1396,0.3930,0.1476,0.0369,0.5221,0.5037,0.4434,0.3733,0.4483,0.1341,0.0141,0.0387,0.1132,0.1169
36,0.1124,0.3540,0.0954,0.0339,0.3935,0.6347,0.5403,0.2678,0.3812,0.0785,0.0144,0.0528,0.1098,0.0847
37,0.1911,0.4114,0.1108,0.0873,0.4294,0.5734,0.5055,0.5014,0.5485,0.5637,0.0097,0.0956,0.1053,0.2881
38,0.1353,0.3509,0.0808,0.0112,0.3456,0.4980,0.2247,0.2300,0.2622,0.0532,0.0026,0.0158,0.1537,0.1196
39,0.2093,0.3860,0.3442,0.0233,0.5395,0.4791,0.2977,0.3628,0.1860,0.0186,0.0233,0.1302,0.1256,0.2279
40,0.0698,0.4535,0.0698,0.5930,0.5233,0.3605,1.0581,0.6163,0.3953,0.7791,0.0000,0.0000,0.1744,0.4419
41,0.0667,0.4000,0.0000,0.0000,0.4000,0.6000,0.0667,0.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2000
42,0.2189,0.2239,0.0697,0.0448,0.2040,0.7512,0.2836,0.4925,0.2090,0.0100,0.0000,0.0000,0.0249,0.0597
44,0.0429,0.3143,0.0000,0.1500,0.0571,0.6071,0.2143,0.2214,0.2929,0.2643,0.0071,0.0286,0.0714,0.1857
45,0.1478,0.2611,0.1527,0.0099,0.6059,0.4433,0.9704,0.5025,0.3350,0.0542,0.0000,0.0000,0.2020,0.3350
46,0.0000,0.1667,0.1667,0.3333,0.0000,0.5833,0.0000,0.0833,0.0000,1.0833,0.3333,0.0000,0.0000,0.1667
47,0.0111,0.3000,0.0667,0.0333,0.3111,0.7556,0.1111,0.1333,0.0444,0.0000,0.0000,0.0000,0.1000,0.1222
48,0.1123,0.4052,0.1923,0.0594,0.6826,0.5548,0.2968,0.3871,0.1626,0.0400,0.0129,0.0568,0.0929,0.3032
49,0.1590,0.2496,0.2192,0.2860,0.6493,0.2467,0.6040,0.3923,0.5654,0.9725,0.0260,0.0609,0.0327,0.3819
50,0.1010,0.3359,0.0214,0.0019,0.3126,0.4641,0.2932,0.2214,0.0680,0.0544,0.0078,0.0000,0.0621,0.0233
51,0.1111,0.4383,0.1080,0.0278,0.5123,0.4599,0.1728,0.3765,0.2006,0.1080,0.0401,0.0154,0.1019,0.2623
52,0.0000,0.6000,0.4000,0.1273,0.7455,0.5455,0.6364,0.6000,0.5091,0.2364,0.0000,0.0000,0.1091,0.4000
53,0.1288,0.5494,0.3948,0.0987,1.1545,0.5579,0.5708,0.9485,0.3648,0.1545,0.0000,0.3176,0.1245,0.6137
54,0.1667,0.3485,0.2273,0.0000,0.5303,0.4773,0.5530,0.7955,0.3485,0.0455,0.0000,0.0227,0.1212,0.2803
55,0.0539,0.3320,0.0415,0.0249,0.1577,0.6763,0.1411,0.4315,0.0498,0.3693,0.0000,0.0000,0.0913,0.0996
56,0.1024,0.3504,0.0863,0.0135,0.8491,0.2884,0.3801,0.3558,0.0728,0.0081,0.0377,0.1752,0.0377,0.0701
57,0.1391,0.3217,0.1565,0.0087,0.4435,0.2696,0.2870,0.3739,0.1478,0.0000,0.0000,0.0522,0.0435,0.1739
58,0.0858,0.3407,0.1299,0.0025,0.7230,0.5368,0.2574,0.5858,0.1887,0.0196,0.0049,0.0417,0.0613,0.1520
59,0.1206,0.3392,0.0804,0.0302,0.6407,0.3593,0.1759,0.4221,0.1206,0.0302,0.0226,0.0327,0.0754,0.2613
60,0.3193,0.2251,0.2394,0.1175,0.4388,0.3903,0.2398,0.1085,0.0750,0.0049,0.0077,0.0090,0.1199,0.1505
61,0.1731,0.4170,0.2686,0.1201,0.7562,0.4876,0.4240,0.1661,0.2438,0.0318,0.0212,0.0424,0.3145,0.3993
62,0.1219,0.3940,0.0868,0.0117,0.4190,0.4942,0.4374,0.1152,0.1085,0.0100,0.0150,0.0250,0.0618,0.3773
63,0.1483,0.3946,0.1903,0.0535,0.6458,0.4432,0.2463,0.1985,0.1466,0.0264,0.0074,0.0033,0.0758,0.3764
64,0.0504,0.3782,0.0336,0.0168,0.4538,0.3529,0.3025,0.1513,0.1597,0.0000,0.0000,0.0000,0.0504,0.3277
65,0.1203,0.3008,0.1504,0.0150,0.5113,0.5564,0.3684,0.2782,0.2556,0.0301,0.0226,0.0150,0.0602,0.0977
67,0.0710,0.1950,0.0218,0.0130,0.1370,0.5557,0.2474,0.1100,0.1476,0.0195,0.0292,0.0130,0.0864,0.0418
70,0.0430,0.4409,0.1398,0.1398,1.1505,0.3441,0.3333,0.3978,0.3333,0.0215,0.0430,0.0215,0.1183,0.1828
72,0.0114,0.4318,0.0909,0.0455,0.4886,0.5000,0.2159,0.0909,0.0455,0.0000,0.0000,0.0000,0.0114,0.4318
73,0.1263,0.3428,0.0921,0.0227,0.5151,0.5219,0.3662,0.2097,0.1417,0.0201,0.0054,0.0183,0.0809,0.0835
75,0.0896,0.4030,0.0149,0.0896,0.8209,0.4328,0.1045,0.7164,0.2687,0.0746,0.0000,0.0000,0.0149,0.2836
78,0.1600,0.2500,0.0000,0.0000,0.3900,0.4100,0.2200,0.2100,0.0900,0.0000,0.0000,0.0000,0.0100,0.1400
79,0.0925,0.4185,0.0176,0.0308,0.2907,0.5903,0.1013,0.3568,0.1454,0.0000,0.0000,0.0176,0.0176,0.3480
80,0.1065,0.4552,0.0242,0.0291,0.3245,0.4770,0.1162,0.3075,0.0533,0.0024,0.0000,0.0000,0.1065,0.3559
81,0.0000,0.5000,0.0000,0.0000,0.5000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
82,0.1151,0.3741,0.0288,0.0000,0.2950,0.3885,0.2086,0.1367,0.0791,0.0000,0.0000,0.0000,0.0647,0.3381
83,0.2000,0.3750,0.1000,0.0000,0.7000,0.5500,0.2000,0.3750,0.0000,0.0000,0.0000,0.0000,0.0000,0.4250
87,0.1071,0.3726,0.0128,0.0150,0.3426,0.5268,0.2591,0.1563,0.1113,0.0150,0.0043,0.0193,0.0578,0.0964
99,0.3429,0.8429,0.6714,0.4286,1.4714,0.5429,1.1857,0.6571,0.7286,1.6143,0.0000,0.4286,0.3000,0.7429
